name,price_cur,price_prev
"Сыр ""President"" сливочный плавленый 40% ломтики, 150г",94.99,139.90
"Сыр ""President"" Мааcдам плавленый 40% ломтики, 150г",89.99,129.90
"Сыр ""Hochland"" творожный с зеленью, 140г",129.90,
"Сыр ""Hochland Grunlander"" полутвердый 50%, 400г",489.90,
"Сыр ""Premier Of Taste"" Parmesan, 40%",999.90,
"Сыр ""Danke"" Тильзитер 45%, 400/420г",399.90,
"Сыр творожный ""Cream Nuvo"" 65%, 380г",229.90,
"Сок ""Добрый"" томатный, 2л",189.90,
"Сок ""Rich"" яблочный осветленный, 1л",199.90,
"Вода ""Святой Источник"" питьевая газированная, 1,5л",50.99,
"Нектар ""Добрый"" Мультифрукт, 2л",189.90,
"Вода ""Святой Источник"" питьевая газированная, 0,5л",35.49,
"Сок ""Rich"" апельсиновый, 1л",199.90,
"Нектар ""Добрый"" апельсиновый с мякотью, 2л",189.90,
"Вода ""Borjomi"" природная минеральная ПЭТ, 1,25л",183.90,
"Сок ""Добрый"" яблочный осветленный, 2л",189.90,
"Вода ""Borjomi"" природная минеральная в стекле, 0,5л",109.90,
"Вода ""Aqua Minerale"" чистая питьевая газированная, 0,5л",40.49,
"Напиток ""Из Черноголовки"" Байкал сильногазированный, 0,5л",42.99,
"Напиток сокосодержащий ""Любимый"" Апельсин-Манго-Мандарин с мякотью, 1,93л",159.90,
"Вода ""Рычал-Су"" минеральная лечебно-столовая газированная, 1л",81.99,
"Напиток ""Из Черноголовки Лимонад сильногазированный, 0,5л",42.99,
"Холодный чай ""Lipton"" Земляника-Клюква, 1л",99.99,
"Сок ""Сады Придонья"" яблочный прямого отжима осветленный, 0,2л",19.99,24.99
"Сок ""Сады Придонья"" яблочный прямого отжима, 1л",78.99,
"Сок ""Сады Придонья"" зеленое яблоко, с 4 месяцев, 200мл",19.99,24.39
"Сок ""Сады Придонья"" Яблоко-Вишня восстановленный, 200мл",19.99,24.39
"Напиток пивной ""СварилЛось"" Лагер, 4,8%, 0,45л",49.99,89.99
"Сидр ""Мистер Лис"" Пряное яблоко, 5,5%, 0,43л",59.99,79.99
"Пивной напиток ""Бочкарев"" Чешское, светлый, 4,3%, 0,45л",52.99,
"Пиво светлое ""Балтика"" №7 Экспортное, светлое, 5,4%, 0,45л",57.99,
"Пивной напиток ""Бочкарев"" Чешское, светлый, 4,3%, 0,43л",52.99,
"Водка ""Graf Ledoff"", 40%, 0,5л",289.90,
"Пиво светлое ""Lav"" Premium, 4,7%, 0,45л",49.99,59.99
"Пивной напиток ""El Capulco"", светлый, 4,5%, 0,45л",59.99,
"Пиво темное ""Wolpertinger"" Dunkles, нефильтрованное, 5%, 0,5л",109.90,
"Пиво светлое ""Apostel Weissbier"" Hell, нефильтрованное, 5,3%, 0,5л",99.99,
"Пиво светлое ""5,0"" Craft, 5%, ж/б, 0,5л",59.99,79.99
"Пивной напиток ""Essa"" Lime&amp;Mint, 6,5%, с/б, 0,45л",64.99,
"Пиво светлое ""Eboshi"", 4,9%, ж/б, 0,5л",105.90,
"Пиво светлое ""Жигули 1968"", 4,5%, 0,43л",52.99,
"Пиво светлое ""Spaten Munchen"" Хеллес, 5,2% с/б, 0,45л",109.90,
"Пивной напиток ""Mr. Craft"" со вкусом манго, маракуйи и ананаса, 6%, 0,42л",89.99,
"Пиво светлое ""Amstel"" Fresh, 4,2%, 0,45л",74.99,
"Пиво светлое ""Franziskaner"" Premium Hefe-weissbier ж/б, 5%, 0,45л",109.90,
"Пиво светлое ""Spaten Munchen"" Хеллес, 5,2% ж/б, 0,45л",109.90,
"Виски ""William Lawson's"" Super Chili, 35%, 0,7л",949.90,1599.90
"Икра трески ""5 Морей"" Атлантическая, стерилизованная, 160г",129.90,
"Тунец полосатый ""Магуро"", филе-кусочки в масле, 170г",169.90,
"Сардина ""Доброфлот"" Иваси тихоокеанская с добавлением масла, 245г",79.99,129.90
"Сардина ""Доброфлот"" Иваси в томатном соусе, 245г",129.90,
"Тунец ""Капитан вкусов"" Макрелевый натуральный, 240г",139.90,
"Говядина тушеная ""Гродфуд"" 97,5% мяса, 338г",299.90,
"Говядина тушеная ""Первым Делом"" кусковая, 340г",33.99,
"Печень трески ""Капитан вкусов"", 115г",169.90,
"Молоко сгущенное Любимая классика цельное с сахаром 8,5% БЗМЖ, 380г",49.99,169.90
"Свинина тушеная ""Барс"" Экстра, 325г",159.90,299.90
"Говядина тушеная ""Дружина""/""Мясоедов"" высший сорт ГОСТ, 325г",164.90,
"Капуста квашеная ""Традиции вкуса"" Фитнес, без сахара, 500г",101.90,
"Тунец ""Магуро"" филе-кусочки, натуральный, 170г",169.90,
"Огурцы ""Д"" Круглое Лето соленые, 600г",94.99,
"Шпроты ""Капитан вкусов"" в масле, 250г",199.90,
"Молоко сгущенное ""Алексеевское"" вареное с сахаром 8,% БЗМЖ, 380г",188.90,
"Ветчина ""Бобровский МК"" Rus Meat Классическая, 325г",119.90,179.90
"Огурцы соленые ""Традиции вкуса"" Корнишоны, 500г",119.90,
"Скумбрия ""Доброфлот"" Дальневосточная натуральная с добавлением масла, 245г",159.90,
"Печень трески ""Вкусные Консервы"" по-мурмански, 185г",139.90,
"Сметана ""Хуторок"" 15%, 300г",69.99,
